S24-Edificio Escuela	Edificio Escuela	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-82
LAB FLUIDOS-Edificio Civil	Edificio Civil	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-83
N01-Edificio Escuela	Edificio Escuela	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-91
N02-Edificio Escuela	Edificio Escuela	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-92
DII 31-Domeyko 2338 (DII)	Domeyko 2338 (DII)	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-97
SEM. Mecanica-Beauchef 851	Beauchef 851	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-98
SEMINARIO  MINAS-Edificio Química	Edificio Química	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-99
Taller Molina-Av. Blanco Encalada 2743	Av. Blanco Encalada 2743	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-100
Multiuso-Edificio Escuela	Edificio Escuela	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-101
Títulos y Grados-Edificio Central	Edificio Central	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-102
SALA SEMINARIO ING. CIVIL-Edificio Civil	Edificio Civil	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-103
Salón Gorbea-Edificio Escuela	Edificio Escuela	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-104
DII211-Edificio Ingeniería Industrial	Edificio Ingeniería Industrial	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-105
SEM. MA		https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-107
SEM. QI		https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-108
Cerro Calán-OBSERVATORIO CERRO CALAN	OBSERVATORIO CERRO CALAN	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-110
PARQUE OHIGGINS		https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-118
Multicancha Beauchef 850-FCFM	FCFM	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-119
GIMNASIO		https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-120
N11-Edificio Escuela	Edificio Escuela	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-122
B204-Edificio Computación	Edificio Computación	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-124
B203-Edificio Computación	Edificio Computación	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-126
B205-Edificio Computación	Edificio Computación	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-127
B206-Edificio Computación	Edificio Computación	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-128
B210-Edificio Computación	Edificio Computación	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-129
B211-Edificio Computación	Edificio Computación	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-130
B212-Edificio Computación	Edificio Computación	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-131
B213-Edificio Computación	Edificio Computación	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-132
B214-Edificio Computación	Edificio Computación	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-133
SEM. FI		https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-147
E015-Edificio Eléctrica	Edificio Eléctrica	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-148
E214-Edificio Eléctrica	Edificio Eléctrica	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-149
E216-Edificio Eléctrica	Edificio Eléctrica	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-150
E215-Edificio Eléctrica	Edificio Eléctrica	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-151
LMO Industrias-Edificio Ingeniería Industrial	Edificio Ingeniería Industrial	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-155
Auditorio DCC, 4º Piso-Edificio Computación	Edificio Computación	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-167
G101-Edificio Geología	Edificio Geología	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-179
G102-Edificio Geología	Edificio Geología	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-180
G103-Edificio Geología	Edificio Geología	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-181
G104-Edificio Geología	Edificio Geología	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-182
G106-Edificio Geología	Edificio Geología	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-184
G107-Edificio Geología	Edificio Geología	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-185
G108 - Humberto Fuenzalida-Edificio Geología	Edificio Geología	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-186
G110-Edificio Geología	Edificio Geología	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-188
G201-Edificio Geología	Edificio Geología	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-189
G301-Edificio Geología	Edificio Geología	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-190
G302-Edificio Geología	Edificio Geología	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-191
G303-Edificio Geología	Edificio Geología	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-192
G304-Edificio Geología	Edificio Geología	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-193
G305-Edificio Geología	Edificio Geología	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-194
G306-Edificio Geología	Edificio Geología	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-195
Laboratorio-Laboratorio	Laboratorio	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-198
G111-Edificio Geología	Edificio Geología	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-199
Club de Tenis Stgo.-Parque O'Higgins	Parque O'Higgins	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-203
GALILEO-Edificio Física	Edificio Física	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-206
Gimnasio Máquinas-Edificio Computación	Edificio Computación	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-210
Sala Seminario 6º P. MAT.		https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-211
Lab.Microsoft, Piso 4, DCC-Edificio Computación	Edificio Computación	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-213
Tutorial		https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-214
SEMINARIO-FCFM	FCFM	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-220
Of. del Profesor		https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-221
Sala Reunión, Piso 3, Depto. Ing.Civil-Edificio Civil	Edificio Civil	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-223
Aud. Eléctrica, Piso 4-Edificio Eléctrica	Edificio Eléctrica	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-231
G109-Edificio Geología	Edificio Geología	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-237
Sala 2, Piso 2, GEOF.-Geofísica	Geofísica	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-240
GImnasio Musculación-FCFM	FCFM	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-246
Laborat. FI, Piso 2		https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-249
Auditorio Picarte, DCC 3º Piso-Edificio Computación	Edificio Computación	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-273
